# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.549761427706e-02       1.687182700375e+04 
       3.566060519116e-02       1.679852634931e+04 
       3.582445751578e-02       1.672525231045e+04 
       3.598919747118e-02       1.665203243089e+04 
       3.615485230521e-02       1.657886034754e+04 
       3.632145034555e-02       1.650575015192e+04 
       3.648902105548e-02       1.643264146632e+04 
       3.665759509312e-02       1.635957364944e+04 
       3.682720437466e-02       1.628658568949e+04 
       3.699788214171e-02       1.621358326100e+04 
       3.716966303328e-02       1.614060500492e+04 
       3.734258316264e-02       1.606765725253e+04 
       3.751668019948e-02       1.599485995302e+04 
       3.769199345784e-02       1.592198971595e+04 
       3.786856399035e-02       1.584921900927e+04 
       3.804643468918e-02       1.577646764471e+04 
       3.822565039444e-02       1.570377973674e+04 
       3.840625801057e-02       1.563105144355e+04 
       3.858830663154e-02       1.555842802630e+04 
       3.877184767555e-02       1.548580589438e+04 
       3.895693503018e-02       1.541320199706e+04 
       3.914362520899e-02       1.534060239300e+04 
       3.933197752056e-02       1.526807154894e+04 
       3.952205425128e-02       1.519555235313e+04 
       3.971392086312e-02       1.512302580911e+04 
       3.990764620803e-02       1.505050664875e+04 
       4.010330276047e-02       1.497798500693e+04 
       4.030096687007e-02       1.490552925849e+04 
       4.050071903643e-02       1.483301154337e+04 
       4.070264420849e-02       1.476049756341e+04 
       4.090683211102e-02       1.468796228416e+04 
       4.111337760134e-02       1.461542336079e+04 
       4.132238105950e-02       1.454285365382e+04 
       4.153394881580e-02       1.447025144739e+04 
       4.174819361998e-02       1.439762112963e+04 
       4.196523515695e-02       1.432491476407e+04 
       4.218520061459e-02       1.425217041537e+04 
       4.240822531014e-02       1.417931381108e+04 
       4.263445338229e-02       1.410642775007e+04 
       4.286403855738e-02       1.403342920302e+04 
       4.309714499939e-02       1.396037082890e+04 
       4.333394825455e-02       1.388715530631e+04 
       4.357463630360e-02       1.381382466116e+04 
       4.381941073619e-02       1.374035607528e+04 
       4.406848806488e-02       1.366672324965e+04 
       4.432210119845e-02       1.359296986347e+04 
       4.458050109805e-02       1.351898774239e+04 
